text,catagory,url,id
MOLTE灰色電腦椅灰色產品資訊可調整成5種高度38414548和51公分讓你坐得更舒適腰部靠墊設計可為背部提供適當支撐有效釋放壓力可用濕布擦拭乾淨你要知道顧客利益設計師LyckevonSchantzMOLTE系列的設計靈感來自柔和有機物體的形狀同時我想運用獨特的造型設計出具有多種特性的舒適電腦椅我們將環保概念融入產品設計充分運用少量的材料製作出最舒適最具特色的座椅以減少對環境的衝擊希望你會喜歡MOLTE系列的設計開心的將電腦椅帶回家使用經設計和測試適合居家空間使用設計師LyckevonSchantz,電腦椅,https://www.ikea.com.tw/zh/products/home-workspace/home-work-chairs/molte-art-00292777,002.927.77
HATTEFJLL紅色白色辦公椅gunnared米色產品資訊縫製細節突顯圓弧線條舒適又美觀內建傾斜和高度調整裝置可長久使用提供10年品質保證欲知更多細則請參閱品質保證書椅背傾斜鬆緊度會依體重和坐姿自動調整讓你舒適的後靠附安全輪腳具有感壓煞車裝置起身時可固定椅子坐下後自動鬆開鎖定可依身高調整座椅和椅背的高度提供適當的支撐可調整座椅深度附腰部靠墊可為背部提供適當支撐含高品質泡棉經久使用後仍維持舒適感可另購扶手以紓緩手臂和肩膀的壓力你要知道顧客利益創新想法和設計由於設定的目標是看起來不同及改變想法我們用不同方式設計HATTEFJLL旋轉椅無論是舒適的工作空間或家裡廚房都適合使用設計團隊擁有人體工學的專業知識但是我們需要創新的想法因此我們與經驗豐富第一次設計辦公椅的設計師合作自由構思和發想創作過程有點複雜設計團隊最後設計出可調式旋轉椅包含不同款式可為身體提供適當支撐設計師MonikaMulderHATTEFJLL旋轉椅的設計構想是創造一款柔軟又溫暖的椅子適合居家空間和辦公室使用我從形狀和顏色開始再加入技術和人體工學的細節部分座椅兩側凸起使椅子具有舒適感及包覆感椅背的精巧腰部支撐部分賦予獨特風格增添舒適感我希望當你看到HATTEFJLL旋轉椅時能把目光留在那裡想像它為工作空間營造像家一樣的舒適感受經測試適合辦公室使用並符合耐用度及穩定度的測試標準設計師MonikaMulder,辦公椅,https://www.ikea.com.tw/zh/products/office-workspace/office-chairs/hattefjall-art-00320228,003.202.28
SFTELAND黑棕色雙人加大掀床淺乳白色含床底板條產品資訊可抬起床底板條底下即是實用的儲物空間在床上閱讀或看電視時可舒服的倚靠床頭板請用濕布擦拭乾淨避免直接曝曬在陽光下以免乾燥的情形發生你要知道需搭配重量35公斤以下床墊使緩衝式開關裝置安全正常的運作搭配IKEA泡棉乳膠或彈簧床墊以確保使用安全適用厚度23公分床墊含床板條底座需另購床墊和寢具,雙人加大掀床,https://www.ikea.com.tw/zh/products/beds/bed-frames/softeland-art-00329889,003.298.89
JOKKMOKK黑色餐椅仿古染色產品資訊實心松木材質經久使用更添質感請用抹布沾溫和清潔劑擦拭乾淨用乾淨的布擦乾你要知道環境如果當地機構提供相關服務可進行回收利用nIKEA對於製作產品的木頭來源有明確的標準規範包含禁止使用非法砍伐或來自天然原始林的木頭在2020年年底前我們決定完全使用來自有森林管理認證林場的木頭或可回收材料n100可再生材質不含配件n設計師CarinaBengs,餐椅,https://www.ikea.com.tw/zh/products/dining-seating/chairs-incl-covers-folding-chairs/jokkmokk-art-00333301,003.333.01
FLINTANgunnared米色白色辦公椅vissle灰色產品資訊提供10年品質保證欲知更多細則請參閱品質保證書椅背傾斜鬆緊度會依體重和坐姿自動調整讓你舒適的後靠可調整座椅高度讓你坐得更舒適腰部靠墊設計可為背部提供適當支撐有效釋放壓力附安全輪腳具有感壓煞車裝置起身時可固定椅子坐下後自動鬆開鎖定傾斜功能在椅背處於直立位置時可鎖定增加穩定度輪腳外層為橡膠材質可在任何材質的地板上滑順移動輕微污漬可用織物清潔劑或用泡棉沾水或溫和清潔液擦拭清理可用溫和清潔劑擦拭乾淨用乾淨的布擦乾你要知道可搭配NOMINELL扶手椅釋放手臂與肩膀的壓力椅子經測試和驗證適合辦公室使用經測試適合辦公室使用並符合耐用度及穩定度的測試標準設計師HenrikPreutz,辦公椅,https://www.ikea.com.tw/zh/products/office-workspace/office-chairs/flintan-art-00336837,003.368.37
FLINTANgunnared米色白色辦公椅vissle黑色產品資訊提供10年品質保證欲知更多細則請參閱品質保證書椅背傾斜鬆緊度會依體重和坐姿自動調整讓你舒適的後靠可調整座椅高度讓你坐得更舒適腰部靠墊設計可為背部提供適當支撐有效釋放壓力傾斜功能在椅背處於直立位置時可鎖定增加穩定度附安全輪腳具有感壓煞車裝置起身時可固定椅子坐下後自動鬆開鎖定輕微污漬可用織物清潔劑或用泡棉沾水或溫和清潔液擦拭清理用乾淨的布擦乾可用溫和清潔劑擦拭乾淨你要知道可搭配NOMINELL扶手椅釋放手臂與肩膀的壓力椅子經測試和驗證適合辦公室使用經測試適合辦公室使用並符合耐用度及穩定度的測試標準設計師HenrikPreutz,辦公椅,https://www.ikea.com.tw/zh/products/office-workspace/office-chairs/flintan-art-00336842,003.368.42
MILLBERGET紅色白色旋轉椅kimstad白色產品資訊可依姿勢和體重調整傾斜度腰部靠墊設計可為背部提供適當支撐有效釋放壓力可調整座椅高度讓你坐得更舒適附安全輪腳具有感壓煞車裝置起身時可固定椅子坐下後自動鬆開鎖定以吸塵器清理可用濕布擦拭乾淨你要知道經設計和測試適合居家空間使用輪腳適用於柔質地面設計師OlaWihlborg,旋轉椅,https://www.ikea.com.tw/zh/products/home-workspace/home-work-chairs/millberget-art-00339416,003.394.16
HATTEFJLL紅色白色辦公椅gunnared深粉色產品資訊縫製細節突顯圓弧線條舒適又美觀內建傾斜和高度調整裝置可長久使用提供10年品質保證欲知更多細則請參閱品質保證書椅背傾斜鬆緊度會依體重和坐姿自動調整讓你舒適的後靠附安全輪腳具有感壓煞車裝置起身時可固定椅子坐下後自動鬆開鎖定可依身高調整椅座和椅背的高度提供適當的支撐可調整座椅深度附腰部靠墊可為背部提供適當支撐高品質泡棉經久使用後仍維持舒適感可另購扶手以紓緩手臂和肩膀的壓力你要知道顧客利益創新想法和設計由於設定的目標是看起來不同及改變想法我們用不同方式設計HATTEFJLL旋轉椅無論是舒適的工作空間或家裡廚房都適合使用設計團隊擁有人體工學的專業知識但是我們需要創新的想法因此我們與經驗豐富第一次設計辦公椅的設計師合作自由構思和發想創作過程有點複雜設計團隊最後設計出可調式旋轉椅包含不同款式可為身體提供適當支撐設計師MonikaMulderHATTEFJLL旋轉椅的設計構想是創造一款柔軟又溫暖的椅子適合居家空間和辦公室使用我從形狀和顏色開始再加入技術和人體工學的細節部分座椅兩側凸起使椅子具有舒適感及包覆感椅背的精巧腰部支撐部分賦予獨特風格增添舒適感我希望當你看到HATTEFJLL旋轉椅時能把目光留在那裡想像它為工作空間營造像家一樣的舒適感受經測試適合辦公室使用並符合耐用度及穩定度的測試標準設計師MonikaMulder,辦公椅,https://www.ikea.com.tw/zh/products/office-workspace/office-chairs/hattefjall-art-00341344,003.413.44
LACK白色子母桌2件組灰色產品資訊可單獨使用或推放在一起節省空間容易組裝輕巧方便搬移請用抹布沾溫和清潔劑擦拭乾淨用乾淨的布擦乾你要知道可搭配LACK系列其它產品含2種尺寸120x40x45公分及60x40x35公分設計師IKEAofSweden,子母桌,https://www.ikea.com.tw/zh/products/armchairs-footstool-and-sofa-tables/sofa-tables/lack-art-00349359,003.493.59
ALEX黑色實木貼皮梣木白色書桌工作桌白色產品資訊簡約的外觀搭配聰明的設計可隱藏雜亂的電線美背式設計可放在房間中央從任何角度看都很美觀附電線收納隔層可收束電線既能隱藏也方便拿取抽屜附防滑落裝置可防止全開後掉落美背式設計可放置在房間中央請用濕布擦拭乾淨定期檢查組裝配件是否牢固必要時請重新鎖緊你要知道經設計和測試適合居家空間使用設計師JohannaAsshoff,書桌/工作桌,https://www.ikea.com.tw/zh/products/home-workspace/home-desks/alex-art-00352629,003.526.29
VEJMON深藍綠色咖啡桌黑棕色產品資訊實木貼皮桌面耐用抗污容易保持乾淨附層板可整齊收納雜誌等物品騰出桌面空間請用濕布擦拭乾淨用乾淨的布擦乾定期檢查組裝配件是否牢固必要時請重新鎖緊你要知道設計師EhlnJohansson,咖啡桌,https://www.ikea.com.tw/zh/products/armchairs-footstool-and-sofa-tables/sofa-tables/vejmon-art-00353054,003.530.54
MARYD深藍綠色托盤桌綠色產品資訊不用時可摺疊收納附可拆式托盤可當作上菜盤使用拖盤邊緣加寬設計可防止潑濺容易搬移請用濕布擦拭乾淨用乾淨的布擦乾定期檢查組裝配件是否牢固必要時請重新鎖緊你要知道設計師CarinaBengs,托盤桌,https://www.ikea.com.tw/zh/products/armchairs-footstool-and-sofa-tables/sofa-tables/maryd-art-00353068,003.530.68
BEKANT米色桌面白色產品資訊美耐皿表面耐用抗污容易保持乾淨提供10年品質保證欲知更多細則請參閱品質保證書請用濕布擦拭乾淨定期檢查組裝配件是否牢固必要時請重新鎖緊你要知道顧客利益別錯過購買的機會我們很喜歡BEKANT書桌所以決定更換新的顏色如果你在店內看到喜歡的款式別等太久而錯過購買的機會我們很快會為BEKANT書桌更換新的樣式需搭配140x140公分BEKANT桌面底框設計師KMalmvallELiljaLwenhielm,桌面,https://www.ikea.com.tw/zh/products/office-workspace/office-desks-and-tables/bekant-art-00353520,003.535.20
BRIMNES樺木床邊桌白色產品資訊層架和抽屜可隱藏收納充電座和手機讓你睡覺時不被光線打擾電線可從抽屜背面穿過抽屜有額外空間可連接延伸插座背面有電線孔設計方便將插頭連接到電源插座請用抹布沾溫和清潔劑擦拭乾淨用乾淨的布擦乾你要知道可搭配BRIMNES系列其他家具環境本產品重量50以上採用可再生材質製成n設計師IKEAofSweden,床邊桌,https://www.ikea.com.tw/zh/products/chests-and-other-furniture/bedside-tables/brimnes-art-00354063,003.540.63
ALEX黑色實木貼皮梣木白色延伸櫃白色產品資訊附2個抽屜可安裝在桌面方便收納筆和文件等物品2個抽屜之間的額外空間可收納筆記型電腦請用濕布擦拭乾淨請依照需求重新鎖緊螺絲確保產品維持最佳狀態你要知道顧客利益創造個人書桌任意搭配創造專屬的桌子組合挑選不同的桌面再搭配喜歡的桌腳或以現有組合打造符合個人和居家空間需求的桌子經設計和測試適合居家空間使用設計師JohannaAsshoff,延伸櫃,https://www.ikea.com.tw/zh/products/complementary-work-items/complementary-work-items/alex-art-00354256,003.542.56
MICKE碳黑色書桌工作桌黑棕色產品資訊簡潔的設計適合放在任何地方你可以搭配其他MICKE書桌或收屜櫃延伸工作空間背面有聰明的設計可隱藏雜亂的電線容易隱藏收納電線和插座也方便將電線連接到牆上插座可依不同需求將收納層架安裝在右側或左側背板附孔能有效使電腦和其他設備通風抽屜附防滑落裝置可防止全開後掉落美背式設計可放置在房間中央MICKE系列所有書桌和儲物櫃的高度相同可搭配同系列其他書桌和儲物櫃以延伸桌面可依不同需求調整層板有效運用收納空間請用濕布擦拭乾淨定期檢查組裝配件是否牢固必要時請重新鎖緊你要知道可搭配MICKE延伸高櫃可搭配延伸櫃整個儲物組合須安裝上牆以免發生傾倒的危險經設計和測試適合居家空間使用請確實遵照充電設備的使用手冊電器用品需長時間遠離視線時請將電源關閉設計師HenrikPreutz,書桌/工作桌,https://www.ikea.com.tw/zh/products/home-workspace/home-desks/micke-art-00354275,003.542.75
MALM碳黑色書桌工作桌實木貼皮染白橡木產品資訊可依不同需求將收納層架安裝在右側或左側桌面底下附層板可隱藏收納電線和延長線方便連接使用美背式設計可放置在房間中央請用濕布擦拭乾淨定期檢查組裝配件是否牢固必要時請重新鎖緊你要知道可搭配MALM系列的其他家具可搭配SUMMERA6隔層抽屜分隔板使抽屜內部井然有序請確實遵照充電設備的使用手冊電器用品需長時間遠離視線時請將電源關閉設計師IKEAofSweden,書桌/工作桌,https://www.ikea.com.tw/zh/products/home-workspace/home-desks/malm-art-00359824,003.598.24
LACK黑色咖啡桌白色產品資訊輕巧方便搬移容易組裝請用抹布沾溫和清潔劑擦拭乾淨用乾淨的布擦乾定期檢查組裝配件是否牢固必要時請重新鎖緊你要知道可搭配LACK系列其它產品,咖啡桌,https://www.ikea.com.tw/zh/products/armchairs-footstool-and-sofa-tables/sofa-tables/lack-art-00361228,003.612.28
LINNMON實木貼皮桌面白色產品資訊可混搭桌面和桌腳或選擇現成組合輕巧耐用運用技術使用更少的原料降低對環境造成的衝擊預先鑽孔方便安裝桌腳預先鑽孔方便安裝桌腳定期檢查組裝配件是否牢固必要時請重新鎖緊請用濕布擦拭乾淨你要知道顧客利益創造個人書桌任意搭配創造專屬的桌子組合挑選不同的桌面再搭配喜歡的桌腳或以現有組合打造符合個人和居家空間需求的桌子設計師IKEAofSweden,桌面,https://www.ikea.com.tw/zh/products/home-workspace/home-desks/linnmon-art-00361756,003.617.56
INGOLF淺橄欖綠dietmar鍍鉻餐椅棕黑色產品資訊何不將整個家佈置成相同風格INGOLF系列無論放在廚房餐廳臥室或玄關都很漂亮實木材質耐碰撞耐用的天然實木材質高椅背設計讓你坐得更舒適可用溫和清潔劑擦拭乾淨用乾淨的布擦乾你要知道可搭配FIXA自黏式地板防刮傷墊片保護底下表面不受刮損傷害經測試適合居家使用符合耐用度和安全性標準設計師CarinaBengs,餐椅,https://www.ikea.com.tw/zh/products/dining-seating/chairs-incl-covers-folding-chairs/ingolf-art-00363331,003.633.31
JRVFJLLETgunnared米色白色辦公椅gunnared深灰色產品資訊每個人的體型都不同JRVFJLLET旋轉椅可調整頭靠墊腰部靠墊及座椅高度深度貼合你的身高和體型提供10年品質保證欲知更多細則請參閱品質保證書椅背的網眼材質可讓空氣流通久坐也能感到舒適傾斜度可調整和固定增加穩固性也可依不同的坐姿控制可調整座椅深度附腰部靠墊可為背部提供適當支撐附安全輪腳具有感壓煞車裝置起身時可固定椅子坐下後自動鬆開鎖定可依個人需求調整頭靠墊和腰部靠墊你要知道經測試適合辦公室使用並符合耐用度及穩定度的測試標準設計師EvaLiljaLwenhielm,辦公椅,https://www.ikea.com.tw/zh/products/office-workspace/office-chairs/jarvfjallet-art-00363595,003.635.95
BEKANT米色右側轉角桌面實木貼皮染白橡木產品資訊實木貼皮表面耐用抗污容易保持乾淨提供10年品質保證欲知更多細則請參閱品質保證書桌面深可提供寬敞的工作空間讓你坐得舒適與電腦螢幕保持適當距離圓弧桌面設計讓您的手腕及手臂在書寫時得到充份的支撐請用濕布擦拭乾淨定期檢查組裝配件是否牢固必要時請重新鎖緊你要知道需搭配BEKANT轉角桌面底框經測試適合辦公室使用並符合耐用度及穩定度的測試標準設計師KMalmvallELiljaLwenhielm,右側轉角桌面,https://www.ikea.com.tw/zh/products/office-workspace/office-desks-and-tables/bekant-art-00366283,003.662.83
BEKANT白色桌面黑色實木貼皮梣木產品資訊實木貼皮表面耐用抗污容易保持乾淨提供10年品質保證欲知更多細則請參閱品質保證書請用濕布擦拭乾淨定期檢查組裝配件是否牢固必要時請重新鎖緊你要知道需搭配140公分BEKANT桌面底框設計師KMalmvallELiljaLwenhielm,桌面,https://www.ikea.com.tw/zh/products/office-workspace/office-desks-and-tables/bekant-art-00366297,003.662.97
MYDAL深灰色上下舖床框松木產品資訊未經處理的實木製成經久耐用可塗上喜歡的顏色及回收處理幫你省荷包也能友善環境耐用的天然實木材質梯子可安裝在床的左側或右側適用於有限空間請用濕布擦拭乾淨用乾布擦拭你要知道最大承重量指的是靜態重量也就是當你躺或坐在上面床能承受的重量含床板條底座高腳床和上層床舖不適合6歲以下兒童使用避免造成跌落受傷的危險請勿在床邊安裝掛鉤或把手或懸掛繩子皮帶以免小朋友因玩耍而造成被纏勒的危險建議6歲以上孩童使用需另購床墊和寢具設計師IKEAofSweden,上下舖床框,https://www.ikea.com.tw/zh/products/children-8-14-year/beds-for-children/mydal-art-00368772,003.687.72
NORDVIKEN黑色銀色吧台椅附靠背白色產品資訊座椅加深弧形椅背設計可舒服地久坐適合搭配NORDVIKEN吧台桌弧形椅背設計可為下背部提供良好支撐避免背部痠痛讓你用放鬆的姿勢舒適久坐座椅加深可分散椅面的重量減輕坐骨壓力實木椅框可使結構堅固耐用下方橫桿可擱腳提供額外的舒適感可當作吧台椅或比檯面矮的椅凳適用於廚房檯面或廚房中島可用溫和清潔劑擦拭乾淨用乾淨的布擦乾你要知道顧客利益設計師FrancisCayouette構思NORDVIKEN系列時我想設計餐廳家具適合不同活動共用個人一整天使用我設計了多功能吧台桌和舒適吧台椅風格簡約搭配傳統工藝細節木質結構非常耐用環保經久使用後更顯美觀家具可隨著生活需求改變容易擺放和使用設計師FrancisCayouette構思NORDVIKEN系列時我想設計餐廳家具適合不同活動共用及個人使用家具可隨著生活需求改變容易擺放和使用適用於高度110公分的吧台桌經測試適合居家使用符合耐用度和安全性標準設計師FrancisCayouette,吧台椅附靠背,https://www.ikea.com.tw/zh/products/dining-seating/bar-stools-incl-covers/nordviken-art-00369540,003.695.40
VIKHAMMER樺木床邊桌黑色產品資訊簡單俐落的設計適合放在床旁邊如果想熬夜看書你可以安靜地放進緩衝式抽屜又不會吵醒別人抽屜具有緩衝功能可安靜和緩的關上請用抹布沾溫和清潔劑擦拭乾淨用乾淨的布擦乾你要知道可加裝FIXA自黏式地板防刮傷墊片保護接觸表面避免磨損設計師MarcusArvonen,床邊桌,https://www.ikea.com.tw/zh/products/chests-and-other-furniture/bedside-tables/vikhammer-art-00388973,003.889.73
PONG棕色knisa淺米色椅凳墊knisa黑色平整包裝尺寸及重量最高水洗溫度攝氏四十度標準洗程請分開清洗請勿漂白請勿烘乾熨斗底板最高溫度攝氏一百五十度之熨燙及壓燙請勿乾洗你要知道環境用再生聚酯纖維製作此產品的布料部分讓我們使用更少的原料減少對環境的影響n設計師IKEAofSweden,椅凳墊,https://www.ikea.com.tw/zh/products/armchairs-footstool-and-sofa-tables/footstools/poang-art-00395153,003.951.53
ODGER紅色白色旋轉椅白色米色產品資訊可旋轉調整座椅高度提供舒適坐姿組裝時不用工具只需利用座椅底部的裝置接合固定圓弧形座椅和椅背讓你坐得舒適請用濕布擦拭乾淨用乾淨的布擦乾你要知道經設計和測試適合居家空間使用設計師JLfgrenJPettersson,旋轉椅,https://www.ikea.com.tw/zh/products/home-workspace/home-work-chairs/odger-art-00395271,003.952.71
LUNNARP黑色咖啡桌棕色產品資訊堅固耐用穩固的LUNNARP咖啡桌桌面底下有實用的儲物空間適合收納雜誌遙控器及平板電腦坐在沙發上休息時可隨時拿取中性設計容易搭配其他家具桌面下有實用的儲物空間桌腳略帶傾斜角度賦予獨特風格請用濕布擦拭乾淨用乾淨的布擦乾定期檢查組裝配件是否牢固必要時請重新鎖緊你要知道設計師JohanKroon,咖啡桌,https://www.ikea.com.tw/zh/products/armchairs-footstool-and-sofa-tables/sofa-tables/lunnarp-art-00399028,003.990.28
IDSEN白色桌面黑色產品資訊圓弧桌面設計讓你的手腕及手臂在書寫時得到充份的支撐提供10年品質保證欲知更多細則請參閱品質保證書請用濕布擦拭乾淨定期檢查組裝配件是否牢固必要時請重新鎖緊你要知道設計師JonKarlsson,桌面,https://www.ikea.com.tw/zh/products/office-workspace/office-desks-and-tables/idasen-art-00403879,004.038.79
